Puzzle Number,Algorithm,Heuristic,Length of the solution,Length of The search path,Execution Time (in seconds)
1,UCS,N/A,1,9,0.006049
1,gbfs,h1,7,40,0.025637
1,AlgoA,h1,1,12,0.006212
1,gbfs,h2,7,40,0.019243
1,AlgoA,h2,1,13,0.007642
1,gbfs,h3,7,40,0.020431
1,AlgoA,h3,1,12,0.010144
1,gbfs,h4,7,40,0.029293
1,AlgoA,h4,1,9,0.005754
2,UCS,N/A,9,1412,0.250869
2,gbfs,h1,76,806,0.699979
2,AlgoA,h1,9,1637,0.473924
2,gbfs,h2,76,806,0.686081
2,AlgoA,h2,9,824,0.346991
2,gbfs,h3,76,806,0.723183
2,AlgoA,h3,9,1637,0.434663
2,gbfs,h4,76,806,0.675753
2,AlgoA,h4,9,1412,0.105169
3,UCS,N/A,16,5300,0.154436
3,gbfs,h1,113,1197,0.751523
3,AlgoA,h1,16,5131,0.538915
3,gbfs,h2,113,1197,0.760912
3,AlgoA,h2,16,5024,0.355545
3,gbfs,h3,113,1197,0.755396
3,AlgoA,h3,16,5131,0.584506
3,gbfs,h4,113,1197,0.747885
3,AlgoA,h4,16,5300,0.277112
6,UCS,N/A,31,759,0.366397
6,gbfs,h1,56,422,0.197445
6,AlgoA,h1,31,748,0.427497
6,gbfs,h2,56,422,0.204372
6,AlgoA,h2,31,741,0.48711
6,gbfs,h3,56,422,0.196275
6,AlgoA,h3,31,748,0.421615
6,gbfs,h4,56,422,0.202869
6,AlgoA,h4,31,759,0.364775
